,Film,Metacritic,Roger Ebert,PluggedIn,IMDB,MrQE,Fandango,Netflix,Naver,"Film
 Comment","Rotten
Tomatoes",Hulu
,Pitch Perfect,22,36,29,49,45,50,41,41,52,25,83
,Crazy Adventure,36,46,77,46,14,57,63,53,49,40,64
,About Elly,47,37,27,25,65,39,39,42,75,53,64
,Tomorrow land,14,21,22,84,56,98,40,24,20,16,63
,Project Almanac,17,18,50,38,25,52,86,21,50,19,65
,Saint Laurent,32,63,86,41,23,57,75,70,28,36,88
,Next Door,40,24,40,34,28,73,50,27,29,44,70
,Still Alice,32,38,65,60,37,15,48,43,45,36,55
,Black Sea,17,55,20,68,59,84,48,62,35,19,63
,My Dreams,33,58,34,37,42,39,95,65,59,37,67
,Black White,31,36,59,40,36,19,65,40,51,35,77
,Running Night,43,32,37,42,25,37,67,36,27,47,45
,Ricki Flash,15,38,83,78,38,62,91,43,31,17,35
,Adaline Age,18,18,73,52,27,42,90,21,68,21,33
,Flights Up,17,37,47,41,14,59,36,42,37,19,33
,End Tour,54,42,88,32,73,72,79,47,16,60,40
,Wild Tales,19,22,43,87,23,20,36,25,29,22,47
,Welcome Home,50,64,42,55,63,34,50,71,71,56,63
,Love Mercy,27,52,46,24,74,18,49,59,73,31,73
,Divergent Series,23,21,33,33,11,40,97,24,70,26,64
,Irrational Man ,21,42,80,54,33,69,49,47,17,24,64
,Hunting Ground,46,20,69,85,38,27,58,23,18,50,40
,South Paw,31,49,49,86,18,80,52,56,15,35,39
,Teenage Girl ,25,18,61,37,24,45,62,32,62,28,76
,Water Diviner,21,13,46,47,41,32,98,15,26,24,32
,Fantastic Four,25,33,50,35,70,42,43,37,50,28,29
,Mapping Stars,46,14,45,30,40,35,83,16,28,51,82
,Red Army,25,61,55,90,41,65,53,68,65,28,63
,Hot Pursuit,11,25,61,27,15,20,66,28,25,12,34
