,Name,Episodes,Favorites,Watching,On-Hold,Members,"Plan
 to Watch",Dropped,Popularity,Score,Ranked,Completed
,Fafnar Weapon,50,63,42,50,34,55,71,56,63,64,43
,Assassian World,18,33,73,90,42,52,68,21,27,18,47
,Neon Genesis,31,39,49,52,80,86,15,35,18,49,21
,Ultra Generation,27,73,46,49,18,24,73,31,74,52,42
,Beating Music,22,83,29,41,50,49,52,25,45,36,42
,Legendary Forks,46,82,45,83,35,30,28,51,40,14,53
,Trinity Blood,25,76,61,62,45,37,62,28,24,18,43
,Connect Angel,40,70,40,50,73,34,29,44,28,24,25
,Fighting Animal,19,47,43,36,20,87,29,22,23,22,71
,Magical Warfare,14,63,22,40,98,84,20,16,56,21,36
,Different Life,15,35,83,91,62,78,31,17,38,38,23
,Black Cats,21,64,80,49,69,54,17,24,33,42,56
,Dragon Ball,17,33,47,36,59,41,37,19,14,37,28
,Fourth Stage,32,55,65,48,15,60,45,36,37,38,21
,Monster Hunter,36,64,77,63,57,46,49,40,14,46,65
,Helping Alice,11,34,61,66,20,27,25,12,15,25,27
,Travel World,17,65,50,86,52,38,50,19,25,18,32
,Great Teacher,32,88,86,75,57,41,28,36,23,63,62
,King Ranking,23,64,33,97,40,33,70,26,11,21,41
,Ultimate horror,25,29,50,43,42,35,50,28,70,33,15
,Queen Kingdom,17,63,20,48,84,68,35,19,59,55,47
,Mobile Phone,54,40,88,79,72,32,16,60,73,42,37
,Cursing Notebook,43,45,37,67,37,42,27,47,25,32,59
,Attacking Titan,46,40,69,58,27,85,18,50,38,20,40
,Metal Panic,25,63,55,53,65,90,65,28,41,61,16
,Kidou Tenshi,47,64,27,39,39,25,75,53,65,37,24
,Hungry Heart,31,77,59,65,19,40,51,35,36,36,68
,Best Humanity,33,67,34,95,39,37,59,37,42,58,70
,First Stage,21,32,46,98,32,47,26,24,41,13,24
