
,Cereal Name,Fat,Fiber,Sugars,Vitamins,Potassium,Calories,Sodium,Protein,Iron,Carbo,Score
,Fruit Fibre,17,25,86,65,21,50,38,18,19,52,50
,Quaker Squares,46,38,58,40,23,69,85,20,50,27,18
,Natural Bran,54,73,79,40,47,88,32,42,60,72,16
,Puffed Rice,25,24,62,76,32,61,37,18,28,45,62
,Lucky Charms,25,70,43,29,37,50,35,33,28,42,50
,Colorful Bran,27,74,49,73,59,46,24,52,31,18,73
,Raisin Bran,40,28,50,70,27,40,34,24,44,73,29
,Frosted Flakes,23,11,97,64,24,33,33,21,26,40,70
,Apple Jacks,31,36,65,77,40,59,40,36,35,19,51
,Honey Nut,14,56,40,63,24,22,84,21,16,98,20
,Mini Wheats,32,37,48,55,43,65,60,38,36,15,45
,Wonderful Chex,47,65,39,64,42,27,25,37,53,39,75
,Almond Delight,11,15,66,34,28,61,27,25,12,20,25
,Grape Flakes,22,45,41,83,41,29,49,36,25,50,52
,Corn Favorite,46,40,83,82,16,45,30,14,51,35,28
,Froot Loops,17,14,36,33,42,47,41,37,19,59,37
,Almond Raisin,32,23,75,88,70,86,41,63,36,57,28
,Fruity Pebbles,15,38,91,35,43,83,78,38,17,62,31
,Cap Crunch,25,41,53,63,68,55,90,61,28,65,65
,Post Nat,17,59,48,63,62,20,68,55,19,84,35
,Smile Maker,36,14,63,64,53,77,46,46,40,57,49
,Wheat Cream,21,41,98,32,15,46,47,13,24,32,26
,Sweet Combo,43,25,67,45,36,37,42,32,47,37,27
,Count Chocula,31,18,52,39,56,49,86,49,35,80,15
,Golden Crisp,50,63,50,63,71,42,55,64,56,34,71
,Oatmeal Crisp,18,27,90,33,21,73,52,18,21,42,68
,Cinnamon Toast,33,42,95,67,65,34,37,58,37,39,59
,Bran Chex,21,33,49,64,47,80,54,42,24,69,17
,Double Chex,19,23,36,47,25,43,87,22,22,20,29
