
,Cereal Name,Vitamins,Sodium,Score,Iron,Fat,Carbo,Potassium,Protein,Fiber,Calories,Sugars
,Frosted Flakes,63,23,28,75,86,57,70,32,41,88,36
,Wonderful Chex,21,11,70,97,33,40,24,23,33,64,26
,Grape Flakes,18,27,68,90,73,42,21,18,52,33,21
,Raisin Bran,24,28,29,50,40,73,27,40,34,70,44
,Natural Bran,61,41,65,53,55,65,68,25,90,63,28
,Almond Delight,32,25,27,67,37,37,36,43,42,45,47
,Froot Loops,37,65,75,39,27,39,42,47,25,64,53
,Fruity Pebbles,55,59,35,48,20,84,62,17,68,63,19
,Golden Crisp,18,25,50,86,50,52,21,17,38,65,19
,Sweet Combo,38,38,31,91,83,62,43,15,78,35,17
,Smile Maker,33,70,50,43,50,42,37,25,35,29,28
,Wheat Cream,38,37,45,48,65,15,43,32,60,55,36
,Post Nat,37,14,37,36,47,59,42,17,41,33,19
,Colorful Bran,22,23,29,36,43,20,25,19,87,47,22
,Puffed Rice,42,33,17,49,80,69,47,21,54,64,24
,Fruit Fibre,49,18,15,52,49,80,56,31,86,39,35
,Double Chex,13,41,26,98,46,32,15,21,47,32,24
,Count Chocula,36,45,52,41,29,50,41,22,49,83,25
,Quaker Squares,25,15,25,66,61,20,28,11,27,34,12
,Corn Favorite,64,63,71,50,42,34,71,50,55,63,56
,Cap Crunch,42,73,16,79,88,72,47,54,32,40,60
,Honey Nut,20,38,18,58,69,27,23,46,85,40,50
,Lucky Charms,21,56,20,40,22,98,24,14,84,63,16
,Cinnamon Toast,36,36,51,65,59,19,40,31,40,77,35
,Almond Raisin,18,24,62,62,61,45,32,25,37,76,28
,Apple Jacks,52,74,73,49,46,18,59,27,24,73,31
,Mini Wheats,14,40,28,83,45,35,16,46,30,82,51
,Oatmeal Crisp,46,14,49,63,77,57,53,36,46,64,40
,Bran Chex,58,42,59,95,34,39,65,33,37,67,37
